artist,release,label,review
Bobby Hutcherson,Dialogue,Blue Note,NA
Bobby Hutcherson,Spiral,Blue Note,"Dream late-60s lineup — Harold Land, Stanley Cowell, Reggie Johnson, Joe Chambers (and Andrew Hill, Sam Rivers, Freddie Hubbard and Richard Davis subbing on Jasper, from 1965)."
Bobby Hutcherson,Happenings,Blue Note,"His first quartet session as leader — with Herbie, Joe Chambers and Bob Cranshaw. Seven BH originals and Maiden Voyage. A kind of breather, in amongst his experiments at this time; relaxed, gorgeous and atmospheric, with brilliant playing. Warmly recommended."
Bobby Hutcherson,Components,Blue Note,"Five-star business with James Spaulding, Freddie Hubbard, Herbie Hancock, Ron Carter and Joe Chambers, in 1965. The first side is all Hutcherson compositions — including Little B’s Poem, his lovely signature tune for his toddler Barry — the second all Chambers’, more abstract and reaching."
Hypnotic Brass Ensemble,Book Of Sound,Honest Jon's Records,"“We started with a cosmic idea that we were taught from a very young age – that the stars and planets make a sound, that deep in outer space there is audible harmony.” 
Book Of Sound is the brilliant, richly resonant exploration of these interstellar low ways. By turns urgent and contemplative, funky and reflective; varied in its textures, but entirely of one piece. Underpinned by cosmology, held in place by meditation, swirling with notions of history, science, theology, ancestry — this is a heady conceptual brew. But the music speaks loudest: ‘the sound of surprise’, magnificently retrieving Spiritual Jazz from the knacker’s yard.
It’s a deeply Chicagoan record. “It’s got the vibe of the lake,’ continues trombonist Cid, “the vibe of the prairies opening up to the west.” Also the Sun Ra albums recorded there in the 1950s, and — of course, being the dad of all seven ensemblists — Phil Cohran’s wonderful albums from the 1960s. 
“You know, it’s tough trying to satisfy everybody with our music. It’s hard enough satisfying ourselves, let alone the jazz scene, the hip hop guys, what have you. With this album we just dropped all that as a consideration, and tuned into deeper principles.” "
I.P. Son Group,,Black Sweat,"Originally released in 1975, from Milan, a one-away blend of Marco Rossi’s bluesy, free, spiritual jazz-guitar (evoking Pharaoh Sanders and Alice Coltrane); middle-eastern winds; and the masterful African percussionists Nick Eyok and Mohammed El Targhi, ranging from northern Saharan to Yoruba styles. Experimental, but warmly grooving, rootsy and accessible."
Abdullah Ibrahim,The Balance,Gearbox,NA
ICP Ten Tet,Tetterettet,Corbett Vs Dempsey,"John Tchicai, Peter Brötzmann, Gilius van Bergeyk, Misha Mengelberg, Peter and Han Bennink, Bert Koppelaar, Tristan Honsinger, Michel Waisvisz and Alan Silva. Originally released in 1977.
‘One of the landmark records of Mengelberg tunes, with classics like Rumboon and Alexander’s Marschbefehel, midpoint between Fluxus and Kurt Weill,Tetterettet presents a program full of musical surprises, intelligence, and ICP’s own brand of uproarious humor. A shaggy masterpiece, available here for the first time as a stand-alone CD, remastered from the original tapes, with Han Bennink’s original cover design.’"
Idris Ackamoor,The Periphery Of The Periphery,Sagittarius A-Star,"‘What really gave the music its fire and spirit was the spontaneity after the head of the composition was played. During the solos we would take it anywhere! Everywhere! Nowhere! Somewhere! Just fire breathing, bopping and weaving, hoofing and dreaming! It was a remarkable time. A beautiful time after the tragedy of 9/11. It was as if we were playing to the spirits of all of those departed. We are here! Still standing! Still blowing to the spirits! Stomping and swinging… Free spirits one and all!’"
Idris Ackamoor & The Pyramids,We Be All Africans,Strut,NA
If You're Not Part Of The Solution,"Soul, Politics And Spirituality In Jazz 1967-1975",BGP,"Soul, Politics, Spirituality & Racially Encoded Girl-Boy Gun Porno In Jazz, 1967-2019."
Iiris Viljanen,"Kiss Me, Stupid & 7 More Solo Piano Pieces",Sing A Song Fighter,NA
Solomon Ilori And His Afro-Drum Ensemble,Igbesi Aiye / Gbogbo Omo Ibile,Honest Jon's Records,"Vinyl debut of 1964 Blue Note recordings — Donald Byrd, Elvin Jones and co in amongst resplendent Nigerian drumming. Around thirteen minutes of classic Pharoah and Alice Coltrane vibes, each side."
Imani,Out Of The Blue,Mad About Records,"Spiritual jazz fusion from San Francisco, impossible to find soon after it was privately pressed in a tiny run back in 1983, and highly collectible nowadays. ‘If you like John Heartsman, Aposento Alto or Minority Band, don’t miss a true killer record.’"
Impulsive!,Unmixed,Impulse!,NA
Infinite Sound,Contemporary African-Amerikan Music,Aguirre,"The trio of Roland P. Young, Aisha Khalil and Glenn Howell, recorded in 1975 at 1750 Arch, in Berkeley, California."
Infinite Spirit Music,Live Without Fear,Jazzman,"Intimate spiritual jazz recorded in Evanston, north Chicago, in 1979, by a septet headed by 
Ethnic Heritage Ensemble members Kahil El’Zabar, singing and playing congas, and Arkestra saxophonist ‘Light’ Henry Huff, besides pianist Soji Adebayo and co. Lovely stuff."
Ingrid Laubrock,Contemporary Chaos Practices,Intakt,NA
Ingrid Laubrock,Ubatuba,Firehouse 12 Records,NA
Interviews And Essays,Sun Ra,Headpress,"Plenty of errors (Languidity? With folk maestro Richard Thompson on bass?), and enough hot air to stick Branson on the moon, but some engrossing interviews, too."
Iro Haarla,Ante Lucem,ECM,NA
Iro Haarla Quintet,Vespers,ECM,"Charged ballads from the outstanding composer-pianist-harpist Iro Haarla and her Finnish-Norwegian ensemble, including trumpeter Mathias Eick, saxophonist Trygve Seim and drummer Jon Christensen."
Weldon Irvine,Liberated Brother,Nodlew,"From 1972, taking time out from the Nina Simone band to cut this funky Black-Jazz-style set for his own label, with Horace Silver’s ‘personal seal of approval’. Includes Mr. Clean and Sister Sanctified."
Iskra 1903,"Chapter One, 1970-1972",Emanem,"The first line-up: Paul Rutherford, Derek Bailey and Barry Guy.
‘More intensely focused and jazz-inflected than either AMM or the more radical excursions of the Spontaneous Music Ensemble, Iskra 1903 represent a wonderfully challenging auditory experience. So densely interwoven are the lines and so convincingly vocalised is Rutherford’s tone that one almost feels one is listening to a passionate discourse’ (Penguin Guide To Jazz)."
Vijay Iyer,Break Stuff,ECM,"Brilliant piano-trio jazz; warmly recommended.
‘Break Stuff’: what happens after formal considerations… a time for action… breakdowns, breakbeats, break dancing…
Hood is a humbly bamboozled tribute to Robert Hood. Work is for Iyer’s beloved Thelonious Monk. Countdown sets Trane to a West African rhythm. Mystery Woman is driven by the compound pulses of South Indian drumming. There’s a desolate, barely-there solo version of Billy Strayhorn’s Blood Count…"
J Jazz,Deep Modern Jazz From Japan 1969-1984,BBE,NA
J Spaceman And Matthew Shipp,SpaceShipp,Treader,NA
J.R. Monterose,,Blue Note,NA
J.R. Monterose,The Message,Jaro International,NA
Jac Berrocal,La Nuit Est Au Courant,Souffle Continu,NA
Jack DeJohnette,Made In Chicago,ECM,"With Henry Threadgill and Roscoe Mitchell, no less — the drummer’s friends from school in the early 1960s — and Muhal Richard Abrams, whose band they all joined as leavers, plus bassist Larry Gray. Issued as the AACM begins its 50th anniversary year, there is nothing complacent about this hard-nosed, exhilarating music. Terrific."
Jack DeJohnette,In Movement,ECM,NA
Jack DeJohnette,New Directions,ECM,NA
Jackie And Roy,Storyville Presents,Storyville,NA
Jacques Thollot,"Quand le son devient aigu, jeter la girafe à la mer",Souffle Continu,"Thollot was a protege of Kenny Wheeler. As a member of the Club St Germain house band he was quickly spotted by Eric Dolphy; everyone from René Thomas to Walt Dickerson took his number. During the 1960s he collaborated with Jef Gilson, François Tusques, Barney Wilen, Steve Lacy… He features on Sonny Sharrock’s Monkey-Pockie-Boo and Don Cherry’s Universal Rhythm.
Recorded in 1971, his first album under his own name (and a title pinched from Henri Michaux) is an extraordinary, odd, elaborate sonic collage, using just a handful of instruments including drums, organ and piano, and a tape recorder, but a wide open field of musical reference, including funk, machine music, prog and free jazz. It’s all ears to Barraqué (an acquaintance), Ravel and Debussy. Its solitary mappings of a fragile melancholy can be compared to Robert Wyatt’s The End Of An Ear; but really it’s an intensely personal affair,
Warmly recommended."
Jakob Bro,Gefion,ECM,The Danish guitarist’s first ECM album as leader — after sessions with Paul Motian and Tomasz Stanko — alongside Jon Christensen and Thomas Morgan.
Jakob Bro,Streams,ECM,NA
Jakob Bro,Returnings,ECM,NA
Jakob Bro,Bay Of Rainbows,ECM,NA
Ahmad Jamal,The Awakening,Be With Records,NA
Bob James,Two,CTI,Take Me To The Mardi Gras!
James Clay,Tenorman,Fresh Sound Records,NA
Etta James,,Doxy,"Her third LP — after At Last! and Second Time Around — produced by the Chess Brothers, released on Argo; with the all-time classic Something’s Got A Hold On Me. This edition adds a couple of 45s."
James Tatum,Contemporary Jazz Mass,Jazzman,NA
Jan Garbarek,In Praise Of Dreams,ECM,NA
Jan Garbarek,Legend Of The Seven Dreams,ECM,NA
Jan Garbarek,Madar,ECM,NA
Jan Garbarek,Twelve Moons,ECM,"Rainer Bruninghaus, keyboards; Eberhard Weber, bass; Manu Katche drums; Marilyn Mazur percussion; Agnes Buen Garnas, vocal; Mari Boine, vocal."
Jan Garbarek,Ragas And Sagas,ECM,"With Ustad Fateh Ali Khan singing; Ustad Shaukat Hussain, tabla; Ustad Nazim Ali Khan, sarangi; Deepika Thathaal, voice; Manu Katche, drums."
Jan Garbarek,Star,ECM,With Miroslav Vitous and Pete Erskine.
Jan Garbarek,Visible World,ECM,NA
Jan Garbarek,Aftenland,ECM,NA
"Keith Jarrett, Charlie Haden",Jasmine,ECM,"Gorgeous, direct duets, love songs, close in spirit to The Melody At Night With You."
The Jazz Couriers,In Concert,Speciality,"Featuring Ronnie Scott and Tubby Hayes, from 1958."
The Jazz Couriers,The Message From Britain,Jazz  Workshop,NA
The Jazz Couriers,England's Greatest Combo / The Message From Britain,Fresh Sound Records,NA
Jean Cohen-Solal,Captain Tarthopom,Souffle Continu,NA
Jean Cohen-Solal,Flutes Libres,Souffle Continu,NA
Jean-Charles Capon,L'Univers Solitude,Souffle Continu,NA
"Jeanne Lee, Ran Blake",The Newest Sound Around,Down At Dawn,NA
Jef Gilson,Oeil Vision,Modern Silence,NA
Jeff Parker,The New Breed,International Anthem Recording Co.,"JP is a member of Tortoise and a pillar of the Chicago jazz and experimental music scene over the last two decades (featuring throughout Makaya McCraven’s album, just for example). His recent move to LA got him back into sampling and beats, combined here with playing by musicians from the groups of Esperanza Spalding, Robert Glasper, Meshell Ndegeocello and so on. A tribute to the muses of Dilla, Monk and Charles Stepney. That’s Bobby Hutcherson’s Visions, deep in funereal thought."
Jeff Resnick,SAC,Outernational Sounds,"Organically funky, laced with avant-garde synth textures, and studded with breakbeats, the second Outernational is Jeff Resnick’s unique, ultra-rare, 1978 promotional recording for the School for American Craftsmen, at the Rochester Institute of Technology. Five tracks of soul jazz and modal fusion — re-modelling Trane, and opening with a variation of Norwegian Wood — by a local group including trumpeter Jeff Tyzik and pianist Sonny Kompanek; then Resnick mostly solo for the second side, when the money ran out, multi-tracking synthesizers on his home set-up, in an engrossing blend of reflective abstraction, grooving electro and spiritualised fourth-world tropicalism.
Bim!"
Jeremy Steig,Wayfaring Stranger,Real Gone,"The flautist’s one BN as leader, from 1970, with Eddie Gomez, Don Alias and Sam Brown, produced by Sonny Lester, mixing funk, jazz, Latin, rock, improv… and a John Jacob Niles. Great stuff."
Jerome Richardson,Complete 1958-1962 Recordings,Fresh Sound Records,"Quartet and sextet sessions led by the flautist and saxophonist: Midnight Oil, Roamin’ With Richardson and HJ favourite Going To The Movies, plus the rare and interesting 10” album Meeting In Studio, recorded in Belgrade during Quincy Jones’ 1960 European tour, by a mix of American and Yugoslavian musicians."
Jesse Sharps Quintet & P.A.P.A.,Sharps And Flats,Outernational Sounds,"The saxophonist Jesse Sharps took over from Arthur Blythe as leader of Horace Tapscott’s Pan-Afrikan People’s Arkestra. ‘He became the Ark leader…he was hardcore,’ the pianist recalls. ‘They’d all be quiet and listen to him when he talked.’ 
This was the period of such classic PAPA recordings as Flight 17, Live At IUCC and The Call; lit up by the funky, deep spirituality of Sharps compositions like Desert Fairy Princess, Macramé and Peyote Song II.
His own Sharps And Flats album was recorded in 1985 for Tom Albach’s legendary Nimbus West imprint, adding a stunning sixteen-minute bonus cut by the Pan-Afrikan Peoples Arkestra, featuring Horace Tapscott, recorded in 1979.  
A lost classic of the Los Angeles jazz underground, on wax at last!"
