artist,release,label,cat_no,review,release_id
Flaty,New Suggestions,Gost Zvuk,NII 001,Heartwarming collection of wonderful IDM / Ambient / House vignettes - очень рекомендуемая!,76736
Tim Hecker,"Ravedeath, 1972",Kranky,154,"Dense, partly noisy, sub droning Ambient Electronica",42838
Loscil,First Narrows,Kranky,069,"Pure class, deeply pulsating Ambient / Ambient Techno album",45368
Dedekind Cut,Tahoe,Kranky,213,Stunning blend of perfect Drones & ghost choruses - an ultimate Ambient album,20182
Ismo Laakso,Ofelia,Sähkö,Puu 045,’80’s industrial sounds blend with neo classical parts and contemporary drone music’,20957
Charlemagne Palestine,Interrvallissphereee (Blue TB7 Series),Moog,104,Research & development for the perfect Drone by a true pioneering explorer,20205
Chris Watson,"Locations, Processed (Blue TB7 Series)",Moog,106,Puristic blend of field recordings (by one of the best) & subtle noise scapes,20206
Jake Muir,Lady’s Mantle,Sferic,003,"Blurry, pure, tripping Designer Ambient bliss",79961
Hecker,Sun Pandämonium,PAN,15,Recommended luxury vinyl version of a 2003 computer music classic,62857
Rashad Becker,Traditional Music Of Notional Species Vol. II,PAN,74,"Overwhelming sound design, absolutely unique in its texture, tonality & dynamics - Highly Recommended! (w/ download card)",46884
Metasplice,Mirvariates,The Trilogy Tapes,066,Superb computer aided Designer Electronics,19049
Huerco S.,For Those Of You Who Have Never (And Also Those Who Have),Proibito,018,Superb Ambient / Electronica album - 2018 repress,60678
Myth,Evaporate,Halcyon Veil,001,"Captivating, blue, contemporary Grime / UK Garage cuts",33115
Elodie,Vieux Silence,Ideologic Organ,027,"Stunningly calm, cinematic, subtly Jazz touched, Ambient aiming sound scapes - Highly Recommended!",26345
Ena,Meteor,Samurai Music,Group RS 006,"Explorative, classic Industrial leaning Electronic EP",05965
Barnett & Coloccia,Retrieval,Blackest Ever Black,024,Superb Drones / Ambient / Electronics,05772
Ø,Heijastuva,Sähkö,25,Wonderful Mika Vainio electronics - one sealed copy,63172
Casino vs. Japan,Suicide by Sun,Casino vs. Japan,002,"Hazy, deep blue Ambient / Drone / ‘Indie-Tronics’ psychedelica",19385
Pink Elln,The Beginning,Non Standard Productions,015,Collection of experimental edged Electronica from the projects early phase,19299
OZmotic,Elusive Balance,Touch,107,"Classy, glistening Ambient Drone bliss w/ subtle echoes on IDM",40476
Biosphere,The Hilvarenbeek Recordings,Biophon,025,"Widely reverberating, field recordings enriched, subtle Ambient bliss",21371
Mark Fell,Periodic Orbits Of A Dynamic System Related To A Knot,Mego,Editions 133,Avant-computer music excursions (46+ min running time),31776
Masami Akita & Eiko Ishibashi,Kouen Kyoudai,Mego,Editions 216,Side-long instrumental Drone / Noise works,32255
Oto Hiax,Oto Hiax,Mego,Editions 234,"Mark Clifford co-prod. impressive mixture of dense, droning Ambient & intense Electro-Accoustics reminiscent works (w/ download card)",41945
The Fires of Ork,The Fires of Ork,Biophon,023,"Reissue of Pete Namlook & Geir Jensse collaboration: widely reverberating,  Ambient / Ambient Techno",19555
Zuli,Numbers,UIQ,009,Weightless Grime affiliated & leftfield Electronica akin mini album,28759
Tomorrow The Rain Will Fall Upwards,Wreck His Days,Blackest Ever Black,053,"Great, full range Ambient album",58425
Eomac,Reconnect,Eotrax,LP 001,Fearless mixture cinematic Industrial atmospheres & IDM related rhythmical Noise,21253
Driftmachine,Shunter,Umor Rex,113,Deeply blue & subtly pulsating Ambient drifters & gentle noise scapes,19441
Head Boggle,Headboggle,Spectrum Spools,012,"Collection of dense, multi-facetted electronic/acoustic music hybrids",43078
Norbert Möslang,Indoor_Outdoor,Ideologic Organ,008,Crafty Noise excursions,67360
Various Artists,Karl Marx’s 200th!,Karl,058,"Diverse, adventurous music from the leftfields questioning status quo",19790
Milton Bradley,Choir Of Devastation,The End Of All Existence,222,"Exceptional, cinematic, sub heavy Ambient Drone / Ambient Techno EP - Highly Recommended!",19222
Ramzi,Pèze-Piton,12th Isle,004,Drifting Ambient / Ambient Techno jams,23574
The Eternal Chord,Semper Liber,Touch,Spire 7,"Ultra minimalist, puristic Drone",20090
Laurel Halo,Dust,Hyperdub,HDB LP 036,Fearless & adventurous take on the Hyperdub-Pop theme: fresh echo on R&B (w/ download card),54647
Mark Van Hoen,Invisible Threads,Touch,104,Great selection of Electronic Drone / cinematic Ambient pieces,20234
Steven Rutter,From Me To You,Firescope,009,"Deeply blue, classy Ambient Techno excursions living up to the rich B12 heritage",24381
Certain Creatures,Nasadiya Sukta,Mysteries Of The Deep,LP 001,Droning Ambient / IDM Electronica pulses,21498
William Selman,Interpretations Vol 2 - Musica Enterrada,Mysteries Of The Deep,EP 002,"Dubbed out drifting to droning, minimalist Ambient / IDM remix set",17979
Strafe F.R.,The Bird Was Stolen,Touch,110,"Exceptional, far out Industrial, Punk & noisy leftfield Electronica album",20091
ASC,Astral Perception,Horo,Ex 017,Prime Ambient Techno explorer,19469
ASC,Astral Projection,Horo,Ex 018,"Stunningly deep, beautifully atmospheric Ambient Techno / Drum & Bass / Drone album",19470
Rhythmic Theory,Circulation,Idle Hands,035,Excellent chilled Electronic album,60464
K-Lone,In The Dust EP,Soundman Chronicles,008,Pure & beautiful Ambient excursions w/ downtempo pulses & weightless Grime affinities,27702
Tomaga,Music For Visual Disorders,Meakusma,023,Outer-space Jazz centered sound scapes w/ echoes of Drone science & 1970s vintage Electronics,19232
Morphosis,Dismantle,Honest Jon’s,HJP 072,"Fine, extended, far out Techno & Electronic jams from the noisier end of things",68473
µ-Ziq,Challenge Me Foolish,Planet Mu,400,"Craftily executed, properly dynamic IDM / Ambient excursion",21272
Space Afrika,Somewhere Decent To Live,Sferic,002,"‘weightless’ Grime affine, pure Ambient bliss",21294
Demian,Return To Third Planet,Bau,03,"Swinging, ‘weightlessly’ drifting, UK ‘intelligent’ & Detroit schools reminiscent Techno",20294
Various Artists,Hyperdub 10.3,Hyperdub,HDB 087,Excursions into Hyperdub related Ambient Electronica,37449
Fennesz,Seven Stars,Touch,Tone 044 V,Ingenious & idiosyncratic guitar-DSP-treatment centered pieces,09581
Shadows,Fear Of The Imagination,Leyla,005,Menacing rhythmic Noise barbarisms,76132
Pris,This Heavy Heart,Avian,023,Reduced & refined Techno grinders,75179
Irrelevant,Vague Memories 2,Fauxpas Musik,025,Extended Ambient sound scapes b/w strongly Burial indebted ’Future UKG’ vibes,21327
I-LP-O In Dub,Capital Dub Chapter 1,Mego,Editions 225,"Blending Ilpo Väisänen’s rich, Pan Sonic related heritage, his puristic approach to Electronic music w/ an idiosyncratic take on ’Dub’ (w/ download code)",77803
Mana,Creature,Hyperdub,HDB 111,‘weightless’ Grime affine Electronica études,78521
Eomac,Resist All Dogma,Eotrax,005,Intense IDM & Industrial affine Ambient sound scapes,21442
Shackleton,Deliverance Series No. 1,Woe To The Septic Heart,DS 1,Ever adventurous sound travelling guided by never disappointing Shackleton,01000
Ancestral Voices,Night Of Vision,Samurai Music,Group Horo LP 002,"Wonderful, imaginative, pulsating Ambient album",25487
Trux,Orbiter LP,Avenue 66,004,Pure chill out to subtly pulsating Ambient Electronica,21475
Yann Novak,The Future Is A Forward Escape Into The Past,Touch,105,Perfect Ambient Drone,21361
Kara-Lis Coverdale,Grafts,Boomkat Editions,12X 1204,"One side album edition; blinding, in-quest-for-the-perfect-Drone related piece of Electronic music",31726
Rainforest Spiritual Enslavement,Ambient Black Magic,Hospital Productions,498,Epic Lounge-Ambient beauties w/ remarkable & rare Substance appearance for a smart downtempo groover,25633
Lakker,Eris Harmonia,Eotrax,003,"Explorative, classic IDM to Industrial schooled Ambient / Electronica",27990
Severnaya,Polar Skies,Fauxpas Musik,024,Pure Ambient soundscapes (w/ download code),20820
Eva-Maria Houben,Breath For Organ,Second Editions,003,"Far-out, radical, contemplative music for / with / from Organ",32585
Strategy,Information Pollution,Further Records,101,"Pure, extended Ambient Electronica transmissions",75230
Hodge,Body Drive,No Corner,12003,"Classy, pulsating, pure Ambient Electronica",46127
Lowtec,The Early Portait,Out To Lunch,CD 002,Excellent Ambient Techno/House album,16771
Sarah Davachi,Qualities Of Bodies Permanent,∑,4,Puristic Electronic Drone in vintage explorer mode,74365
Inner8,Tetramorph,Holotone,001,Dismal Techno / Noise steppers,75493
Second Woman,S/W,Spectrum Spools,043,"Classy, intense, richly textured, CAD Electronics & IDM grooves (w/ download code)",33220
Flanger,Spinner,Nonplace,042,"Groove smart bomb in usual hard to fix Nonplace style: UK Bass vibes, echoes of IDM, tasty bass lines... killer!",76096
Alexey Nikitin,Ledyanoy,Gost Zvuk,007,"Exceptional, coherent, Nocow prod. Ambient / IDM Techno album - comes in gatefold cover",77872
Bola,D.E.G.,Skam,LP 034,"Sweet, melodic, classy Ambient / IDM Electronica",36284
Heidi Lord,English Electric,WéMè,028,Far out Ambient Techno excursions,72057
Ekoplekz,Cassettera,Planet Mu,387,Noisy late 1970s Punk / Wave rooted Electronics in explorer mode,22869
Claude Speeed,Other Infinities,Planet Mu,392,Noisy Drone scapes & intense & dense Ambient / IDM electronica,22866
Biosphere,Shenzhou,Biophon,027,Extended reissue of Debussy sampled classical sounding droning ambient,37690
COH,COH Plays Everall,Hallow Ground,1705,"Psychedelic vintage 1970s Electronica approaches in crisp, fresh sound design",23626
Kunst,Kunst,Kunst,002,Exciting metallophonic Ambient / Drum & Bass science hybrid psychedelica - Highly Recommended!,33600
Ploy,Unruly,Hemlock,032,"Out-there, richly textured Ambient Techno & pulsing noise-scapes",27996
Kyoka,SH,Raster-Noton,170,"Excellent, crisp, shifting rhythm textures in brilliant sound design",75395
Various Artists,Diggin In The Carts,Hyperdub,HDB CD 038,‘A Collection Of Pioneering Japanese Video Game Music (Original Game Soundtrack)’,24006
O$VMV$M,O$VMV$M,Idle Hands,026,"A beautiful, calm Ambient Electronica album",73842
Hildur Gudnadottir,Saman,Touch,096 V,Beautifully executed vinyl edition; modern Classical,71593
Kuedo,Slow Knife,Planet Mu,380,"Wonderful, dense & gripping, masterful sound design utilizing, avant-Pop synthesizer landscapes album",54722
Markey Funk,Instinct,Audio Montage,LP 005,Psychedelic Electronica ’inspired by aesthetic of the 1970’s European crime/thriller film music’,74879
Mica Levi,Delete Beach,DDS,024,Luxury vinyl edition of outstanding soundtrack works,23524
Fennesz,Venice (10th Anniversary Edition),Touch,053 V,Very classic Fenensz - expanded 10th anniversary in stunning gatefold sleeve,71806
Souns,Eve EP,New Kanada,66,"Pure, static Ambient sound scapes",21466
STL,Nonzero Sonics,Dark Matters,006,Greatly reverberating Ambient centered EP w/ downtempo grooves thrown in,12927
Verge,Emblematic Ruin,Avian,029,"Superb, intense, cinematic Drone / Ambient works",47735
Litüus,"19805. -_ 19905,",Avian,021,"Reduced, experimental Techno scapes",74743
Positive Centre,In Silent Series,Our Circula Sound,LP 001,Explorative Techno related Electronic music album,72007
Burnt Friedman,Isomorphic,Bright Sounds,007,Stunning EP derived from Friedman’s archive - idiosyncratic Electronic music in explorer mode - Highly Recommended!,35994
Evan Caminiti,Toxic City Music,Dust Editions,003,"Killer, cinematic Ambient / Post-Rock / Drone album (w/ download code)",77830
Ikonika,Position EP,Hyperdub,HDB 085,Freestyling leftfield Techno related Electronica,37401
Roger 23,Extended Play,Ilian Tape,X 08,"Lovely, playful, experimental Ambient textures",75997
Earthen Sea,An Act Of Love,Kranky,208,Subtly pulsating Ambient album,39808
Fedbymachines,Relapse EP,Shipwrec,030,"Dreamy, psychedelic Electronica & echoes of developed Acid for Braindancers",36412
O Morto,"The Forest, the People and the Spirits",Discrepant,047,’An immersive electronic tryptic piece dedicated to the Ba'Aka people and its spirits.’,19667
Klein,Tommy EP,Hyperdub,HDB 112,Leftfield Pop derived Elecronic sound scapes w/ weightless Grime affinities,12972
Robert Henke,Signal to Noise,Imbalance,05,Hyper-reality-Electronic Music & Drone compositions,45981
Various Artists,Ambient Parks Vol. 3,New Kanada,64,"Comprehensive, multifaceted Ambient Electronica compilation",28212
B12,Transient Life,De:tuned,009,"Wonderful, retro-futuristic & dreamy Steven Rutter prod. Ambient Techno / Electronica immersion",75196
Robert Henke,Piercing Music,Imbalance,02,"1993 one hour Electronic Music composition; no repress, but warehouse find - original sealed copies",01378
Shapednoise,Different Selves,Type,127,"Perfectly executed, awesome sounding Noise soundscapes",75182
Masayoshi Fujita & Jan Jelinek,Schaum,Faitiche,013,"Richly textured, subtly jazzy, beautiful Electronic / Ambient album (comes w/ download code)",58317
Andrew Pekler,Tristes Tropiques,Faitiche,014,Classy Vintage Electronics leaning Ambient Electronica album (w/ download code),76982
Kassel Jaeger,Aster,Mego,Editions 235,"Subtle, quiet, harmonically explorative collections of Drone Electronics - Recommended album! (w/ download code)",28782
Stephen O’Malley,Gruidés,DDS,013,Impressively sounding Modern Classical / Drone works,75180
Joshua Sabin,Terminus Drift,Subtext,020,"Outstandingly designed, slightly noisy, intense Electronica in explorer mode",39104
Mapa,No Automatu,Gusstaff,1706,Noisy edged Avant-Electronica echoing with a New Wave / Punk & Jazz related improvisation approaches,78449
Rafael Anton Irisarri,The Shameless Years,Umor Rex,100,"Stunningly dense, slightly noisy, pure Drone Ambient bliss (w/ download code)",28740
Andy Stott,Too Many Voices,Modern Love,101,"Sub heavy, adventurous, moody & glistening Pop / Grime album",68225
Night Foundation,Memory Bells,Lobster Theremin,Sleep Sequence 002,"Pure blue, droning Ambient sound scapes",13886
Oren Ambarchi,Hubris,Mego,Editions 227,"Tripping blend of Classical Minimal, Drone & Alternative Jazz/Indie Rock (w/ download code)",76917
∑,Schleifen,∑,7,"Explorative, wonderfully executed leftfield Techno / Electronic / Drone album",08721
Ekin Fil,∑=3,∑,3,Quiet Ambient/Industrial/Drone pieces,72937
BJ Nilsen & Stilluppsteypa,Space Finale,Mego,Editions D 011 V,"Recommended, epic Ambient / Electronic Drone album",61478
Beate Bartel & Gudrun Gut,Instrumentals For Sirens,Moabit,020,Classy fearless & fresh Elecrtronic set by true pioneers (w/ download code),40736
Pact Infernal,Infernality,Horo,Ex 010,"Heavily 1980s Industrial & 90’ Goth-Ambient-Electronica indebted, Techno aiming album",29302
Biosphere,The Petrified Forest,Biophon,030,Cinematic Ambient & subtly pulsating Ambient Techno / Lounge Electronica,31895
Logos,Glass EP,Different Circles,002,Droning ‘weightless’ Grime Ambient textures w/ remarkable Shapednoise version,19074
Strict Face,Into Stone,Different Circles,003,"Droning, mesmerizing Grime cut b/w ‘weightless’ Ambient version",19075
Roots In Heaven,Petites Madeleines,Zehnin,003,"Stunning, pure Ambient Electronic / Drone jam (55 minutes split over two sides)",29892
Goto80,Floptrik,Central Processing Unit,00110000,Collection of IDM in chip tunes mode - excursions into proper digital glitch science,29700
O$VMV$M,O$VMV$M,Idle Hands,038,Excursions into diverse textured Ambient Electronics,48409
Kiyoko,Kiyoko EP,Samurai Music,Horo 008,Ambient Electronica / IDM EP,67536
Konrad Sprenger,Stack Music,PAN,78,"The quest for the perfect Drone: outstanding, mesmerising Electro-Accoustic guitar works (w/ download code)",78171
Bola,Fyuti,Skam,LP 007 Ltd.,"Wonderful, unique, leftfield IDM / Ambient album from 2001 - picture disc edition, one mint copy w/ polylined innersleeves, cover has slightest wear",36285
Loscil,Sea Island,Kranky,191,"Blue, minimalist, cinematic, pulsating Ambient",43129
Crème De Hassan,Technique & Rite,Inversions,002,"Outernational drumming & tunings driven, dubbed explorative & intense Indie-Electronica",31752
Mats Lindström,МИГ,Ideologic Organ,006,Deluxe vinyl issue of superb Electro Accoustic sound works,10833
